"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZLAN3CF9","bookSection","1989","Dunnell, R C","Aspects of the application of evolutionary theory in archaeology","Archaeological Thought in America","978-0-521-40643-7","","","https://www.cambridge.org/core/books/archaeological-thought-in-america/aspects-of-the-application-of-evolutionary-theory-in-archaeology/5AA39ADE6D468DE949438B749556BCA3","Setting aside the general developmental idea with which the term evolution is associated in English, there are two distinctly different explanatory systems that bear this label and that are current in American archaeology. One, of course, is the methodology initiated by Darwin (1859) in the mid-nineteenth century, linked to genetics in the mid-twentieth century (e.g. Fisher 1930; Haldane 1932), and which today constitutes the foundation for the scientific understanding of the organic world and its diversity. The second explanatory system called evolution is more commonly identified as cultural evolution. Although it is frequently conceived as the application of principles of biological evolution to cultural phenomena (e.g. Yoffee 1979), even cursory examination demonstrates that it is a fundamentally different methodology (Blute 1979; Dunnell 1980). Cultural evolution, as a system of explanation, is far more ancient than biological evolution. Its rigorous expression as a “theory” is usually traced to Spencer (e.g. 1857), at about the same time as Darwin was forwarding his methodology. As was also true of biological evolution, cultural evolution fell from favor in academic circles in the early twentieth century, not to be revived until midcentury largely by the work of White (1949). White (1959b) plainly recognized that his position was at variance with evolution in the natural sciences as did many other early workers (e.g. Carneiro 1967; Sahlins and Service 1960). This revival of Spencerian evolution was initially limited to sociocultural anthropology; archaeologists found little of value in it at first (Willey 1961).","1989","2023-06-14 16:37:35","2023-06-14 16:37:47","","35-49","","","","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","DOI: 10.1017/CBO9780511558221.003","","","","","","Lamberg-Karlovsky, C C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT9DX6VQ","journalArticle","2001","Atran, Scott","The trouble with memes: Inference versus imitation in cultural creation","Human Nature","","10456767","10.1007/S12110-001-1003-0/METRICS","https://link.springer.com/article/10.1007/s12110-001-1003-0","Memes are hypothetical cultural units passed on by imitation; although nonbiological, they undergo Darwinian selection like genes. Cognitive study of multimodular human minds undermines memetics: unlike in genetic replication, high-fidelity transmission of cultural information is the exception, not the rule. Constant, rapid ""mutation"" of information during communication generates endlessly varied creations that nevertheless adhere to modular input conditions. The sort of cultural information most susceptible to modular processing is that most readily acquired by children, most easily transmitted across individuals, most apt to survive within a culture, most likely to recur in different cultures, and most disposed to cultural variation and elaboration.","2001","2023-06-24 12:13:35","2023-06-24 12:13:38","2023-06-24","351-381","","4","12","","","","","","","","","","","","","","","","","Publisher: Walter de Gruyter and Co.","","/home/akc47/Zotero/storage/8Q5XYD3B/full-text.pdf","","","Culture; Cognition; Imitation; Inference; Meme; Modularity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3EVGGYQ","journalArticle","1961","Bandura, Albert; Ross, Dorothea; Ross, Sheila A.","Transmission of aggression through imitation of aggressive models","Journal of Abnormal and Social Psychology","","0096851X","10.1037/H0045925","","In a previous study (see 37: 856) children imitated the behavior of a model in the presence of the model. The present study investigated the degree of imitation when the model was not present. Degree to which like-sexed model behavior would be followed was also studied. Nursery school children exposed to aggressively behaving models tended to imitate not only their aggressiveness but other behavior as well. There was some confirmation of like-sex imitation. The results were related to the psychoanalytic theory of identification. (PsycINFO Database Record (c) 2006 APA, all rights reserved). © 1961 American Psychological Association.","1961-11","2023-06-24 12:16:11","2023-06-24 12:16:11","2023-06-24","575-582","","3","63","","","","","","","","","","","","","","","","","PMID: 13864605","","","","","AGGRESSION, IMITATION BY CHILDREN; CHILDHOOD; CHILDHOOD/PRESCHOOL, IMITATION OF AGGRESSION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7E5AVX4A","book","1985","Boyd, Robert; Richerson, Peter J","Culture and the evolutionary process","","0-226-06931-1","","","","","1985","2023-11-29 14:48:47","2024-12-03 22:15:12","","","","","","","","","","","","","University of Chicago Press","Chicago","","","","","","","","","","","","","Evolución social; Hombre  -- Evolución; Sociobiología","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42BSTJ7D","journalArticle","2006","Borgerhoff Mulder, Monique; Nunn, C. L.; Towner, M. C.","Cultural macroevolution and the transmission of traits","Evolutionary Anthropology","","","","","","2006","2023-11-29 14:50:45","2023-11-29 14:52:28","","1-38","","2","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7GE3FDS","journalArticle","2008","Mesoudi, Alex; Whiten, Andrew","The multiple roles of cultural transmission experiments in understanding human cultural evolution","Philosophical Transactions of the Royal Society B: Biological Sciences","","09628436","10.1098/RSTB.2008.0129","https://royalsocietypublishing.org/doi/10.1098/rstb.2008.0129","In this paper, we explore how experimental studies of cultural transmission in adult humans can address general questions regarding the who, what, when and how of human cultural transmission, and c...","2008-11-12","2023-11-29 14:52:13","2023-11-29 14:52:14","2023-11-29","3489-3501","","1509","363","","","","","","","","","","","","","","","","","PMID: 18801720 Publisher: The Royal SocietyLondon","","","","","cultural evolution; cultural transmission; diffusion experiments; laboratory experiments; social learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDJ3UPJ2","journalArticle","2017","Bebbington, Keely; MacLeod, Colin; Ellison, T Mark; Fay, Nicolas","The sky is falling: evidence of a negativity bias in the social transmission of information","Evolution and Human Behavior","","1090-5138","https://doi.org/10.1016/j.evolhumbehav.2016.07.004","https://www.sciencedirect.com/science/article/pii/S1090513816301660","The method of serial reproduction has revealed that the social transmission of information is characterized by the gradual transformation of the original message. This transformation results from the preferential survival of certain types of information and the resolution of ambiguity. Here we present evidence of a bias favoring the social transmission of negatively-valenced information across multiple transmission episodes. Ninety-two, four-person chains transmitted a story containing unambiguously positive and unambiguously negative story events, along with ambiguous story events that could be interpreted positively or negatively. Analysis using mixed-effects modeling revealed the preferential survival of unambiguously negative events over positive events, and the increasingly negative resolution of ambiguous events across successive transmission episodes. Contrary to predictions, elevated state anxiety did not enhance the social transmission of negatively-valenced information. We also found that the survival of unambiguously negative story events was positively correlated with the negative resolution of ambiguous story events, reflecting a general negativity-bias in the social transmission of information.","2017","2023-11-29 14:57:06","2023-11-29 14:57:14","","92-101","","1","38","","","","","","","","","","","","","","","","","","","","","","Anxiety; Cultural attraction; Cultural evolution; Cultural selection; Negativity bias; Serial reproduction; Social transmission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6JQU49L","journalArticle","2015","Berl, Richard E.W.; Hewlett, Barry S.","Cultural Variation in the Use of Overimitation by the Aka and Ngandu of the Congo Basin","PLOS ONE","","1932-6203","10.1371/JOURNAL.PONE.0120180","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120180","Studies in Western cultures have observed that both children and adults tend to overimitate, copying causally irrelevant actions in the presence of clear causal information. Investigation of this feature in non-Western groups has found little difference cross-culturally in the frequency or manner with which individuals overimitate. However, each of the non-Western populations studied thus far has a history of close interaction with Western cultures, such that they are now far removed from life in a hunter-gatherer or other small-scale culture. To investigate overimitation in a context of limited Western cultural influences, we conducted a study with the Aka hunter-gatherers and neighboring Ngandu horticulturalists of the Congo Basin rainforest in the southern Central African Republic. Aka children, Ngandu children, and Aka adults were presented with a reward retrieval task similar to those performed in previous studies, involving a demonstrated sequence of causally relevant and irrelevant actions. Aka children were found not to overimitate as expected, instead displaying one of the lowest rates of overimitation seen under similar conditions. Aka children copied fewer irrelevant actions than Aka adults, used a lower proportion of irrelevant actions than Ngandu children and Aka adults, and had less copying fidelity than Aka adults. Measures from Ngandu children were intermediate between the two Aka groups. Of the participants that succeeded in retrieving the reward, 60% of Aka children used emulation rather than imitation, compared to 15% of Ngandu children, 11% of Aka adults, and 0% of Western children of similar age. From these results, we conclude that cross-cultural variation exists in the use of overimitation during childhood. Further study is needed under a more diverse representation of cultural and socioeconomic groups in order to investigate the cognitive underpinnings of overimitation and its possible influences on social learning and the biological and cultural evolution of our species.","2015-03-27","2023-11-29 15:00:43","2023-11-29 15:01:06","2023-11-29","e0120180","","3","10","","","","","","","","","","","","","","","","","PMID: 25816230 Publisher: Public Library of Science","","/home/akc47/Zotero/storage/ICZWA885/full-text.pdf","","","Culture; Adults; Animal sociality; Central African Republic; Children; Cross-cultural studies; Human learning; Toddlers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUYEAVCE","journalArticle","2008","Caldwell, Christine A.; Millen, Ailsa E.","Experimental models for testing hypotheses about cumulative cultural evolution","Evolution and Human Behavior","","1090-5138","10.1016/J.EVOLHUMBEHAV.2007.12.001","","The rapid appearance (over evolutionary time) of the cognitive skills and complex inventions of modern humans has been attributed to ""cumulative cultural evolution"" (CCE), the accumulation of knowledge and skills over generations. To date, researchers have only been able to speculate about the reasons for the apparent absence of this phenomenon in nonhumans, and it has not been possible to test hypotheses regarding the mechanisms underlying it. Here, we show that it is possible to demonstrate CCE under laboratory conditions by simulating generational succession through the repeated removal and replacement of human participants within experimental groups. We created ""microsocieties"" in which participants were instructed to complete simple tasks using everyday materials. In one of our procedures, participants were instructed to build a paper aeroplane which flew as far as possible, and in the other, they were instructed to construct a tower of spaghetti which was as tall as possible. We show that, in both cases, information accumulates within the groups such that later generations produce designs which are more successful than earlier ones. These methods offer researchers a window to understanding CCE, allowing for experimental manipulation and hypothesis testing. © 2008 Elsevier Inc. All rights reserved.","2008-05-01","2023-11-29 15:12:22","2023-11-29 15:12:25","2023-11-29","165-171","","3","29","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/home/akc47/Zotero/storage/G3677QR2/full-text.pdf","","","Culture; Cultural transmission; Cultural evolution; Ratchet effect; Social learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBSEZQTL","journalArticle","2009","Caldwell, Christine A.; Millen, Ailsa E.","Social learning mechanisms and cumulative cultural evolution. Is imitation necessary?","Psychological science","","1467-9280","10.1111/J.1467-9280.2009.02469.X","https://pubmed.ncbi.nlm.nih.gov/19891752/","Cumulative cultural evolution has been suggested to account for key cognitive and behavioral attributes that distinguish modern humans from their anatomically similar ancestors, but researchers have yet to establish which cognitive mechanisms are responsible for this kind of learning and whether they are unique to humans. Here, we show that human participants' cumulative learning is not always reliant on sources of social information commonly assumed to be essential. Seven hundred participants were organized into 70 microsocieties and completed a task involving building a paper airplane. We manipulated the availability of opportunities for imitation (reproducing actions), emulation (reproducing end results), and teaching. Each condition was independently sufficient for participants to show cumulative learning. Because emulative learning can elicit cumulative culture on this task, we conclude that accounts of the unusual complexity of human culture in terms of species-unique learning mechanisms do not currently provide complete explanations and that other factors may be involved. © 2009 Association for Psychological Science.","2009","2023-11-29 15:12:59","2023-11-29 15:12:59","2023-11-29","1478-1483","","12","20","","","","","","","","","","","","","","","","","PMID: 19891752 Publisher: Psychol Sci","","","","","Culture; Female; Humans; Male; MEDLINE; National Center for Biotechnology Information; National Institutes of Health; National Library of Medicine; NCBI; NIH; NLM; Non-U.S. Gov't; PubMed Abstract; Research Support; Adolescent; Adult; Aged; Ailsa E Millen; Christine A Caldwell; Cultural Evolution*; doi:10.1111/j.1467-9280.2009.02469.x; Imitative Behavior*; Learning; Middle Aged; pmid:19891752; Social Behavior*; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYEM9BFN","journalArticle","2014","Fessler, Daniel M.T.; Pisor, Anne C.; Navarrete, Carlos David","Negatively-Biased Credulity and the Cultural Evolution of Beliefs","PLOS ONE","","1932-6203","10.1371/JOURNAL.PONE.0095167","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0095167","The functions of cultural beliefs are often opaque to those who hold them. Accordingly, to benefit from cultural evolution’s ability to solve complex adaptive problems, learners must be credulous. However, credulity entails costs, including susceptibility to exploitation, and effort wasted due to false beliefs. One determinant of the optimal level of credulity is the ratio between the costs of two types of errors: erroneous incredulity (failing to believe information that is true) and erroneous credulity (believing information that is false). This ratio can be expected to be asymmetric when information concerns hazards, as the costs of erroneous incredulity will, on average, exceed the costs of erroneous credulity; no equivalent asymmetry characterizes information concerning benefits. Natural selection can therefore be expected to have crafted learners’ minds so as to be more credulous toward information concerning hazards. This negatively-biased credulity extends general negativity bias, the adaptive tendency for negative events to be more salient than positive events. Together, these biases constitute attractors that should shape cultural evolution via the aggregated effects of learners’ differential retention and transmission of information. In two studies in the U.S., we demonstrate the existence of negatively-biased credulity, and show that it is most pronounced in those who believe the world to be dangerous, individuals who may constitute important nodes in cultural transmission networks. We then document the predicted imbalance in cultural content using a sample of urban legends collected from the Internet and a sample of supernatural beliefs obtained from ethnographies of a representative collection of the world’s cultures, showing that beliefs about hazards predominate in both.","2014-04-15","2023-11-29 15:18:06","2023-11-29 15:18:15","2023-11-29","e95167","","4","9","","","","","","","","","","","","","","","","","PMID: 24736596 Publisher: Public Library of Science","","/home/akc47/Zotero/storage/TQXJMPU8/full-text.pdf","","","Culture; Anxiety; Cultural evolution; Learning; Evolutionary biology; Internet; Natural selection; Social psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8H5VIKZQ","journalArticle","2019","Hoehl, Stefanie; Keupp, Stefanie; Schleihauf, Hanna; McGuigan, Nicola; Buttelmann, David; Whiten, Andrew","‘Over-imitation’: A review and appraisal of a decade of research","Developmental Review","","0273-2297","10.1016/J.DR.2018.12.002","","After seeing an action sequence children and adults tend to copy causally relevant and, more strikingly, even perceivably unnecessary actions in relation to the given goal. This phenomenon, termed “over-imitation”, has inspired much empirical research in the past decade as well as lively theoretical debate on its cognitive underpinnings and putative role in the transmission of cultural knowledge. Here, we offer a comprehensive review of the existing literature to date, accompanied by a table including concise information on 54 published studies testing over-imitation in different species, age groups and cultures. We highlight methodological issues related to task and context that influence over-imitation rates and that should be carefully considered in study designs. We discuss the cognitive and motivational processes underlying and contributing to over-imitation, including normative action parsing, causal reasoning, motives of affiliation and social learning as well as their complex interplay. We conclude that despite the apparent irrationality of over-imitation behavior, recent studies have shown that its performance depends on the specific task, modeled actions and context variables, suggesting that over-imitation should be conceptualized as a contextually flexible and, in fact, a normally highly functional phenomenon.","2019-03-01","2023-11-29 15:20:01","2023-11-29 15:20:04","2023-11-29","90-108","","","51","","","","","","","","","","","","","","","","","Publisher: Academic Press","","/home/akc47/Zotero/storage/X7P2J2AY/full-text.pdf","","","Imitation; Social learning; Cultural learning; Over-imitation; Social norms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
